config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,graph_file,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
2,2,100,10,0.5,0.1,2.0,,,G55.txt,95.26847266724926,95.66948247402661,9811.7,9853.0,214.2387680053711,4.062763214111328
2,2,100,10,0.5,0.2,1.0,,,G55.txt,94.87814350907855,95.32964365472375,9771.5,9818.0,177.61574096679686,3.7117056846618652
2,2,100,10,0.5,0.2,1.5,,,G55.txt,94.88008544518887,95.4655791824449,9771.7,9832.0,193.2923614501953,3.8308944702148438
2,2,100,10,0.5,0.2,2.0,,,G55.txt,95.14127585202446,95.7665792795417,9798.6,9863.0,208.0116714477539,4.000471353530884
2,2,100,10,0.0,0.0,1.0,,,G60.txt,97.76853679165492,98.07583873696082,13871.4,13915.0,251.93142395019532,6.3686323165893555
2,2,100,10,0.0,0.0,1.5,,,G60.txt,97.85734423456442,98.0405976881872,13884.0,13910.0,262.752018737793,6.268827199935913
2,2,100,10,0.0,0.0,2.0,,,G60.txt,97.72413307020017,97.9137299126022,13865.1,13892.0,292.9297210693359,7.269782304763794
2,2,100,10,0.0,0.1,1.0,,,G60.txt,97.65858471948125,97.89258528333804,13855.8,13889.0,239.68500061035155,6.370754718780518
2,2,100,10,0.0,0.1,1.5,,,G60.txt,97.79038624189455,98.01945305892303,13874.5,13907.0,264.74952545166013,6.952389240264893
2,2,100,10,0.0,0.1,2.0,,,G60.txt,97.79391034677192,98.0124048491683,13875.0,13906.0,294.4222930908203,6.301833629608154
2,2,100,10,0.0,0.2,1.0,,,G60.txt,97.5458133634057,97.8502960248097,13839.8,13883.0,248.35809478759765,6.589778184890747
2,2,100,10,0.0,0.2,1.5,,,G60.txt,97.61277135607556,97.9771638003947,13849.3,13901.0,267.6859893798828,6.625500440597534
2,2,100,10,0.0,0.2,2.0,,,G60.txt,97.6677473921624,98.00535663941359,13857.1,13905.0,291.9509582519531,7.191239833831787
2,2,100,10,0.25,0.0,1.0,,,G60.txt,97.6649281082605,97.85734423456442,13856.7,13884.0,254.08978118896485,6.370877265930176
2,2,100,10,0.25,0.0,1.5,,,G60.txt,97.7741753594587,97.95601917113054,13872.2,13898.0,265.41511993408204,6.765248537063599
2,2,100,10,0.25,0.0,2.0,,,G60.txt,97.7565548350719,98.13222441499859,13869.7,13923.0,292.7344116210937,6.149292469024658
2,2,100,10,0.25,0.1,1.0,,,G60.txt,97.64307865802087,97.94192275162109,13853.6,13896.0,245.0977355957031,6.048019647598267
2,2,100,10,0.25,0.1,1.5,,,G60.txt,97.59303636876234,97.96306738088525,13846.5,13899.0,278.49888000488284,6.353345155715942
2,2,100,10,0.25,0.1,2.0,,,G60.txt,97.71215111361714,98.02650126867776,13863.4,13908.0,279.30592346191406,6.269903659820557
2,2,100,10,0.25,0.2,1.0,,,G60.txt,97.48660840146603,97.68818720045108,13831.4,13860.0,245.22652740478514,5.802018642425537
2,2,100,10,0.25,0.2,1.5,,,G60.txt,97.52678319706794,97.82915139554554,13837.1,13880.0,275.38523559570314,6.130923509597778
2,2,100,10,0.25,0.2,2.0,,,G60.txt,97.62545813363406,97.89258528333804,13851.1,13889.0,295.71741638183596,7.371731281280518
2,2,100,10,0.5,0.0,1.0,,,G60.txt,95.27981392726248,95.57372427403439,13518.3,13560.0,248.97219696044922,6.185889959335327
2,2,100,10,0.5,0.0,1.5,,,G60.txt,95.12122920778123,95.37637440090217,13495.8,13532.0,266.8444458007813,7.140393972396851
2,2,100,10,0.5,0.0,2.0,,,G60.txt,95.37637440090217,95.56667606427968,13532.0,13559.0,287.0446533203125,6.830093860626221
2,2,100,10,0.5,0.1,1.0,,,G60.txt,94.9668734141528,95.45390470820412,13473.9,13543.0,247.11898040771484,6.318637371063232
2,2,100,10,0.5,0.1,1.5,,,G60.txt,95.20510290386243,95.5455314350155,13507.7,13556.0,262.83503875732424,6.382248878479004
2,2,100,10,0.5,0.1,2.0,,,G60.txt,95.14589794192275,95.68649563010995,13499.3,13576.0,298.2461273193359,6.502593994140625
2,2,100,10,0.5,0.2,1.0,,,G60.txt,94.88440936002256,95.43980828869468,13462.2,13541.0,252.1392822265625,6.7174975872039795
2,2,100,10,0.5,0.2,1.5,,,G60.txt,94.97885537073583,95.43276007893995,13475.6,13540.0,259.61280059814453,6.424213409423828
2,2,100,10,0.5,0.2,2.0,,,G60.txt,95.26289822385114,95.74288130814773,13515.9,13584.0,297.8036376953125,6.816654682159424
2,2,100,10,0.0,0.0,1.0,,,G67.txt,93.98273381294965,94.87769784172662,6531.8,6594.0,387.8539764404297,9.952704429626465
2,2,100,10,0.0,0.0,1.5,,,G67.txt,94.73093525179856,95.30935251798562,6583.8,6624.0,413.57863159179686,11.683709859848022
2,2,100,10,0.0,0.0,2.0,,,G67.txt,94.73093525179856,95.59712230215827,6583.8,6644.0,492.59178161621094,11.65262508392334
2,2,100,10,0.0,0.1,1.0,,,G67.txt,94.09496402877699,94.67625899280576,6539.6,6580.0,395.9713500976562,11.398395299911499
2,2,100,10,0.0,0.1,1.5,,,G67.txt,94.51223021582734,94.96402877697842,6568.6,6600.0,414.3811370849609,13.278003454208374
2,2,100,10,0.0,0.1,2.0,,,G67.txt,94.68201438848921,95.13669064748201,6580.4,6612.0,491.4601623535156,13.460222244262695
