timestep,masked_mean_energy,masked_ci95,nomask_mean_energy,nomask_ci95
478,-3337.9333333333334,61.449603473994124,19176.0,0.0
479,-3327.6666666666665,72.25118657631737,19176.0,0.0
480,-3331.4,66.6387145244509,19176.0,0.0
481,-3345.866666666667,64.5644358524892,19176.0,0.0
482,-3330.133333333333,64.75946624227747,19176.0,0.0
483,-3308.2,65.65533604982988,19176.0,0.0
484,-3319.2,64.52548677670022,19176.0,0.0
485,-3332.0666666666666,57.799467202995835,19176.0,0.0
486,-3342.6,57.482216375573714,19176.0,0.0
487,-3333.0,58.2151744171036,19176.0,0.0
488,-3340.6,60.66877007140504,19176.0,0.0
489,-3344.6666666666665,58.5945796193324,19176.0,0.0
490,-3350.0,57.21730814416532,19176.0,0.0
491,-3359.8,57.63172362031415,19176.0,0.0
492,-3341.4666666666667,57.972610884902025,19176.0,0.0
493,-3359.9333333333334,55.800301204092385,19176.0,0.0
494,-3364.6666666666665,58.08899994654129,19176.0,0.0
495,-3371.5333333333333,55.929675736452054,19176.0,0.0
496,-3369.6666666666665,57.12063157940965,19176.0,0.0
497,-3376.266666666667,52.469168174749925,19176.0,0.0
498,-3378.5333333333333,58.58390780523096,19176.0,0.0
